Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
0,2,"Last0, Title0.",female,25.909603398750228,2,0,62650,30.08,C
1,3,"Last1, Title1.",female,28.55116424707655,3,0,80543,78.56,S
1,2,"Last2, Title2.",male,26.472316705103605,1,1,67141,148.81,C
0,3,"Last3, Title3.",female,32.13587516943456,1,2,49454,5.58,Q
0,2,"Last4, Title4.",male,50.6008876219042,0,2,87486,7.4,Q
1,1,"Last5, Title0.",female,1.0,0,1,52862,149.0,C
0,3,"Last6, Title1.",male,26.68409629686442,0,1,95493,89.77,S
1,3,"Last7, Title2.",male,32.47117389921426,0,1,99522,23.4,C
0,1,"Last8, Title3.",female,34.14391585561939,3,2,63011,135.11,C
0,3,"Last9, Title4.",male,24.793195861501943,3,1,70713,132.66,C
1,1,"Last10, Title0.",male,5.405895045299843,3,1,33009,82.75,S
1,3,"Last11, Title1.",male,34.59193677199754,0,2,83316,95.16,C
1,3,"Last12, Title2.",male,54.18290299829859,0,0,70442,44.61,C
1,2,"Last13, Title3.",male,8.525940331174073,1,2,91228,12.33,Q
1,3,"Last14, Title4.",male,42.09359219177463,2,0,34030,91.21,C
1,1,"Last15, Title0.",female,25.400646876279485,1,0,80882,47.74,C
1,1,"Last16, Title1.",female,29.141459158396138,1,2,52324,101.23,C
0,1,"Last17, Title2.",male,15.259420850144714,0,2,26665,126.26,S
1,2,"Last18, Title3.",male,25.317613587017725,2,2,25407,7.63,S
0,3,"Last19, Title4.",female,48.20062432578542,1,2,60594,91.38,Q
1,1,"Last20, Title0.",female,38.157173387827896,0,1,38750,38.54,Q
0,2,"Last21, Title1.",female,54.25236247573922,2,1,19170,131.71,Q
0,3,"Last22, Title2.",female,46.483766445687706,3,0,48442,41.78,C
1,1,"Last23, Title3.",female,36.147213505014065,0,0,68762,93.56,S
1,3,"Last24, Title4.",male,54.415083366349094,1,0,38705,85.26,Q
1,1,"Last25, Title0.",male,36.145904222336185,3,0,95980,62.44,C
0,3,"Last26, Title1.",female,41.59183447515883,2,1,80158,103.26,S
1,2,"Last27, Title2.",female,25.848006650514083,3,2,56145,110.24,Q
1,2,"Last28, Title3.",male,30.931641422028868,1,2,94117,87.21,Q
0,1,"Last29, Title4.",female,20.23606647379612,1,1,48967,114.97,Q
0,2,"Last30, Title0.",male,43.85417508432794,2,2,22570,147.6,S
